video_url,title,author,source_query,manual_relevant,manual_notes
,大金铲逃离肖申克一代！ #越狱模拟器 #steam游戏 #游戏日常 #游戏,@小铭爱玩,短视频代运营,,
,世界上最可怕的河流不是亚马逊——跟刚果河一比，亚马逊就是新手村。#硬核知识局 #刚果河 #地理科普 #硬核科普,@史科新语社,短视频代运营,,
,超大杯剧情解说！一口气看完三角洲S1-S10所有的主线剧情！ #游戏 #游戏鉴赏家 #三角洲 #三角洲行动 #剧情,@游戏观察猿,短视频代运营,,
,你说已经有鼠鼠在航天卖鱼了？ #三角洲行动 #三角洲啥都有创作大赛#上抖音精选App看三角洲 #三角洲钓鱼,@【爱鼠TV】呆呆兽,短视频代运营,,
,《诸天任意门》第1集 如果你每天都能穿越诸天五秒，你会干什么？陈天灵的答案只有四个字：拿来吧你！抢灵果、夺神兵、顺秘籍，随着系统残片不断升级，他的五秒穿越，也渐渐变成了诸天万界最大的噩梦。#二次元 #原创动画 #穿越 #轻漫计划 #ai漫剧,@天灵灵,短视频代运营,,
,范天雷挖到何晨光三个宝贝兵后立刻对他们开启了选拔#军旅剧 #深度解说 #特种兵,@机动影视,短视频代运营,,
,原创怪谈惊悚剧：《雨夜之下》第一集 #VidMuse #VidMuse光点计划 #雨夜之下 #规则怪谈 #悬疑 开始尝试新的类型，不知道各位喜不喜欢~,@方块超会剪,短视频代运营,,
,折叠屏iPhone Duo、18 Pro系列现场上手！ #上抖音精选App看科技热点 #iPhoneDuo #iPhone18 #苹果 #手机,@老师好我叫何同学,短视频代运营,,
,如果秦始皇陵被打开，中国历史可能要改写 地宫水银异常，宫墙坚固，但真正原因是技术不足。挖开可能毁掉一切，保护成了唯一选择。,@睡眠教研室,短视频代运营,,
,用第一人称的方式打开《周处除三害》看主角陈桂林如何在复仇与救赎中走向终局#电影解说,@奇妙说,短视频代运营,,
,这勘察是真的白啊，给我好兄弟玉帝2300W撤离成功渡劫百亿大亨#凌大度 #和平精英地铁逃生,@和平精英凌度（凌大度电竞）,短视频代运营,,
,上海自助餐！评分最高vs评分最差！体验区别能有多大？ #特种兵玩家准备开启快闪模式 #国庆下一站 #国庆吃喝玩乐节 #国庆当然要出发 #国庆小决定大快乐,@哇塞几张,短视频代运营,,
,那年狗熊岭三幻神，选择了热度最高的打法…… #熊出没 #光头强 #动漫 #充能计划 #青年创作者成长计划,@老六说说漫,短视频代运营,,
,一口气看完“911事件”的全部过程，为何战斗机没能拦截？ 一口气看完“9.11事件”的全过程，战斗机为何没能拦截？ #911事件 #美国 #阿富汗 #911事件,@军事历史记录,短视频代运营,,
,《人民的名义》深度解析：第一集 “是拘还是规”——一场省委内部的抓捕会议，竟意外引爆了三方势力的明争暗斗。老狐狸高育良看准时机，直接把这烫手的问题抛给了沙瑞金！ #人民的名义 #深度解析 #了不起的混剪团 #抖音精选,@壹品精讲🧑🏻‍💻,短视频代运营,,
,我来到韩国的养老地 体验老人的退休生活 这次我去往松岛度假，在旅游淡季路上大多是老年人，由于韩国处于高度老龄化，公共设施很多细节偏向为老人提供便利，退休之后的老人大多独自居住，生活丰富多彩的同时，隔代的亲情相对淡薄 #维森来了 #韩国养老 #韩国退休老人 #青年创作者成长计划,@维森来了,短视频代运营,,
,大唐皇孙语出惊人，当场救下太子父亲 #原创动画 #抖音原创动漫 #AI动画 #历史动画 #穿越大唐,@小七仙漫,短视频代运营,,
,午夜轮班，伪人超市 午夜轮班正式版，伪人超市，找出存在异常的客人！然后... Shift At Midnight,@鲤鱼Ace,短视频代运营,,
,我要爬上这座充满巨蛇的高塔！ROBLOX,@麟麟七的游戏日常,短视频代运营,,
,来了宝宝 今天我们速通《逃离家暴》大门逃离 #恐怖游戏 #steam游戏 #恐怖游戏速通,@南译丷,短视频代运营,,
,一口气蹲到腿麻的暴雨末日！每十天海平面升高十米！ #我的世界 #小凡 #暴雨末日,@小凡,短视频代运营,,
,《那年的那个她》-那年夏天你有没有为了喜欢的人做一件自己不想做的事呢？#青春 #校园 #爱情 #即梦AI创作者成长计划 #抖音ai创作者大赛,@林苏记,短视频代运营,,
,为什么说狂犬病一旦发作，体内细胞几乎没有翻盘机会！ #牛马细胞#狂犬病#ai创作浪潮计划#科普#原创动画,@牛马细胞,短视频代运营,,
,巅峰2100肉狂铁全局思路 毋庸置疑 混分首选 只要打得稳随随便便2100 中低分段主抓自己的对线 高一点在练意识和大局观#巅峰赛 #对抗路 #全局思路 #王者荣耀 #混分成就巅峰,@方术（对抗路教学）,短视频代运营,,
,来了宝贝，一款难度系数极高的恐怖游戏《噩梦医院》极限速通，为了录素材游戏玩了八遍，死亡次数27次，终于达成一命速通#恐怖游戏 #恐怖游戏速通 #steam游戏,@锦鲤学长,短视频代运营,,
,全球最贵摩天住宅！3.3亿欧、悬空滑梯泳池？ 78万一平米！摩纳哥的Tour Odéon，明明没人买，为什么还要卖这么贵？#美学编辑家 #摩纳哥 #家居 #豪宅 #设计,@建筑师阿高,短视频代运营,,
,《穿越三角洲：曼德尔契约》长弓溪谷篇合集，航天篇正在构思中，争取这两天给大家更新，各位有好的思路和想融入进来的角色，或者对剧情有什么建议可以私信主包，有价值的会回复！谢谢大家支持！#三角洲行动漫剧 #AI创作浪潮计划#原创漫剧#三角洲行动#AIGC,@千寻AIGC,短视频代运营,,
,《当班里来了个爱装女》#大博小阳,@阳姐,短视频代运营,,
,在印度最穷和最富有的地方生活24小时，200%贫富差距！ #印度 #德里,@猛男阿凯奇幻之旅,短视频代运营,,
,《世界另一页》第一期｜离黄金最近的人，为什么离财富那么远？ #世界另一页#PageStudio打开世界影视团队 #黄金 #创作阶梯计划 #看看你的暑期社会实践,@何香蓓Betty,短视频代运营,,
,博尔特初次尝试100米，便跑出10秒03！ 本作品使用LibTV制作 #LibTV #LibTV创作者成长计划 #博尔特 #高歌体育,@高歌体育,短视频代运营,,
,一颗葡萄扔回侏罗纪，它能靠一身甜把整条河岸据为己有吗？ #科普 #植物科普 #葡萄 #侏罗纪 #史前巨兽,@太古漫游,短视频代运营,,
,探秘韩国国宴！一顿饭16万！30道菜！吃什么？味道怎么样？ #美食 #韩国 #首尔,@HOLA小测佬,短视频代运营,,
,各位星爸星妈们，对我和赫赫的表现还满意吗？#邓超 #你是我的超级英雄 #dou爱公益日 #抖音孤独症关爱行动 #海洋天堂,@老邓（SuperDeng）,短视频代运营,,
,如果植物和僵尸变异了，会发生什么？ #植物大战僵尸 #植物大战僵尸恐怖版 #pvz #休闲游戏,@小宝趣玩,短视频代运营,,
,神话只是运气好的铂金吗？铂金3水友征战神话局，看看表现如何 #无畏契约 #神话 #螃蟹账号 #无畏契约螃蟹 #螃蟹暑期打瓦,@shoot（无畏契约）,短视频代运营,,
,一口气看完异世界穿越龙傲天爽番：独自一人的异世界攻略 #动漫解说 #动漫推荐 #我在抖音看动漫,@三爷追漫,短视频代运营,,
,告诉老弟我生宝宝了看他的反应,@欢实妞,短视频代运营,,
,女孩第一次坐火车就遇到陌生男的同车厢1-3 #原创动漫 #恋爱 #ai,@早早漫剧,短视频代运营,,
,野兽先生带你体验价值10亿美元的超级豪华游艇！ #野兽先生 #MrBeast #野兽先生挑战 #野兽中文 #最近迷上了新东西,@野兽频道中文配音,短视频代运营,,
,佩奇开智后到底有多权威？看完你就知道了。 #小猪佩奇#乔治#动漫编年史#我在抖音看动漫#充能计划,@墨浅动漫屋,短视频代运营,,
,每走一步我的身体都会变瘦！ROBLOX,@麟麟七解说,短视频代运营,,
,台风过后沙滩上吹来了很多美食，捡一些回去做海鲜大餐 #赶海 #渔民日常 #海岛小爬菜 #大自然的馈赠 #美食,@海岛小爬菜,短视频代运营,,
,学会这套公式打法，你的小乔就能轻松带飞全场#小乔教学 #小乔打法思路 #子沄教学,@子沄（中路教学）,短视频代运营,,
,逃离家暴时隔一年再玩，依旧丝滑通关 #steam游戏 #游戏日常 #逃离家暴 #SchoolBoy#新游鉴赏家,@伍弟玩游戏,短视频代运营,,
,（可能引入不适，请谨慎观看）当你变身成祖国人后，能否在浣熊市，寂静岭，以及后室中生存超过72小时？#生化危机#生化危机,@卡钳影视,短视频代运营,,
,吃槟榔上瘾的槟榔哥 吃槟榔上瘾的槟榔哥 #上瘾 #槟榔 #人生体验,@人生剧场,短视频代运营,,
